Evaluation/100instances/transT_eval_mean,_timestamp,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/pt_eval_std,Evaluation/100instances/idleT_eval_mean,Training/Update/global_critic_loss,Evaluation/100instances/obj_eval_std,_step,Evaluation/100instances/transT_eval_std,Evaluation/100instances/mk_eval_std,Evaluation/100instances/obj_eval_mean,_runtime,Training/Update/job_actor_loss,Training/Update/machine_actor_loss,Evaluation/100instances/pt_eval_mean
,1746618687.1347942,,,,,,,1247,,,,20377.533373186,,,
,1746618690.8875897,,,,,,,1248,,,,20381.286204285,,,
269.9029086764798,1746618783.6868603,231.33469058654282,554.3838948818353,77.4653830692484,994.0652530170382,0.571658730506897,125.05284299226142,1249,42.238643873071005,63.81590431939135,883.1362517840347,20474.085798642,0.25789734721183777,0.1829698532819748,524.4400272229734
,1746618791.7384262,,,,,,,1250,,,,20482.137110777,,,
,1746618795.5818732,,,,,,,1251,,,,20485.980674984,,,
,1746618799.7918494,,,,,,,1252,,,,20490.190492438,,,
,1746618804.003533,,,,,,,1253,,,,20494.402131218,,,
,1746618843.1002207,,,,,0.5255654454231262,,1254,,,,20533.499138258,0.1329786628484726,0.08004584163427353,
,1746618851.2792053,,,,,,,1255,,,,20541.677918374,,,
,1746618855.5706248,,,,,,,1256,,,,20545.969200748,,,
,1746618859.5310864,,,,,,,1257,,,,20549.92976869,,,
,1746618863.8339558,,,,,,,1258,,,,20554.232557419,,,
272.230843898937,1746618958.6540298,308.1539192900518,565.875051576497,75.5271861063094,1059.0561982860945,0.5050914287567139,158.46744237595396,1259,44.865579048105126,78.79574256991697,913.3736163955435,20649.053114048,0.20406512916088104,0.08454804867506027,522.3873691767986
,1746618966.8472834,,,,,,,1260,,,,20657.246059607,,,
,1746618971.165869,,,,,,,1261,,,,20661.564427638,,,
,1746618975.373978,,,,,,,1262,,,,20665.772582544,,,
,1746618979.5319831,,,,,,,1263,,,,20669.930591242,,,
,1746619017.6694522,,,,,0.47300681471824646,,1264,,,,20708.068234268,0.16060470044612885,0.16562971472740173,
,1746619025.2820055,,,,,,,1265,,,,20715.680619793,,,
,1746619029.6472957,,,,,,,1266,,,,20720.045916427,,,
,1746619034.1145434,,,,,,,1267,,,,20724.51307885,,,
